id x_0 x_0_err y_0 y_0_err z_0 z_0_err u_0 u_0_err v_0 v_0_err w_0 w_0_err
# "Circle" 7.3 0.0 0.0 0.0 -0.016 0.0 -11.1 0.0 -29.51296048964245 0.0 -7.3 0.0
# "NGC 104" 1.87 0.13 -2.58 0.18 -3.18 0.22 -88.0 5.5 -80.5 6.2 38.0 1.9
# "NGC 2419" -74.71 5.25 -0.48 0.03 35.22 2.47 -6.6 10.9 -209.1 28.0 -65.3 23.2
# "FSR 1716" 8.21 0.56 -4.78 0.32 -0.26 0.02 -240.5 14.3 -339.0 24.1 -145.8 10.3
"Pyxis" -5.90 0.40 -38.66 2.60 4.80 0.32 101.5 14.5 -34.4 2.6 179.6 17.3
# "Pal 3" -34.30 2.37 -59.74 4.13 61.73 4.27 2.3 61.4 -84.9 56.6 60.0 51.3
# "Pal 7" 4.99 0.34 2.00 0.14 0.53 0.04 191.1 3.4 -63.3 8.4 20.2 1.5
# "Crater" 8.15 0.56 -96.97 6.70 107.50 7.43 52.0 198.2 -155.4 114.0 55.9 96.4
# "E 1" -16.49 1.19 -80.07 5.79 -92.30 6.68 123.5 95.7 -309.4 63.0 88.7 51.0
# "NGC 7078" 3.90 0.27 8.38 0.59 -4.77 0.33 89.8 9.5 -193.9 7.7 -34.2 6.2
# "NGC 1851" -4.26 0.29 -8.94 0.61 -6.95 0.48 -96.1 3.0 -318.4 6.0 -89.1 7.1
# "Whiting 1" -14.01 0.96 4.65 0.32 -26.23 1.80 214.8 18.0 -191.4 18.5 1.0 10.8
# "Pal 1" -6.75 0.47 8.03 0.56 3.62 0.25 52.5 3.3 -47.9 2.8 -27.0 3.9
# "Pal 4" -31.41 2.18 -12.89 0.90 103.26 7.17 23.3 56.9 -280.1 86.8 48.3 16.4
"NGC 5927" 6.41 0.43 -4.22 0.28 0.65 0.04 -207.4 8.1 -125.2 12.2 -2.3 2.0
